run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,adversary_strategy,adversary_node_count,byzantine_fraction,view_change_count,clipped_fraction,run_horizon_s,safety_violation,conflicting_instances,max_slashable_stake_fraction
pbft-n25,pbft,25,6,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,7,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,8,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,9,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,10,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,11,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,12,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,13,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,14,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,15,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,16,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,17,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,18,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,19,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,2,0.100000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,0,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,1,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,2,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,3,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,4,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,5,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,6,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,7,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,8,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,9,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,10,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,11,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,12,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,13,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,14,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,15,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,16,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,17,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,18,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,19,poisson,512,0.0,100.0,c18587d2,150.0,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,5,0.200000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,0,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,2.020000,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,1,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,2.166667,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,2,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,2.026667,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,3,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,2.153333,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,4,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,2.013333,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,5,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,1.906667,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,6,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,1.966667,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,7,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,2.100000,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,8,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,2.120000,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
pbft-n25,pbft,25,9,poisson,512,0.0,100.0,c18587d2,150.0,4050.000000000,4060.000000000,0.500000,1.980000,94.720000,94.720000,53433.600000,1.000000,0.000000,nan,nan,nan,nan,nan,equivocate-vote,8,0.330000,25,0.000000,230.000,0,0,0.000000
